,Season,Game,Score,Teams,Home Team,Away Team
6473,2017-2018,2,0-2,Osasuna - R. Sociedad,Osasuna,R. Sociedad
6474,2017-2018,2,2-1,Real Madrid - Celta,Real Madrid,Celta
6475,2017-2018,2,0-0,Leganés - Atlético,Leganés,Atlético
6476,2017-2018,2,5-1,Las Palmas - Granada,Las Palmas,Granada
6477,2017-2018,2,0-0,Alavés - Real Sporting,Alavés,Real Sporting
6478,2017-2018,2,0-1,Athletic - Barcelona,Athletic,Barcelona
6479,2017-2018,2,0-0,Villarreal - Sevilla,Villarreal,Sevilla
6480,2017-2018,3,1-1,R. Sociedad - Espanyol,R. Sociedad,Espanyol
6481,2017-2018,3,0-4,Celta - Atlético,Celta,Atlético
6482,2017-2018,3,5-2,Real Madrid - Osasuna,Real Madrid,Osasuna
6483,2017-2018,3,2-1,Sevilla - Las Palmas,Sevilla,Las Palmas
6484,2017-2018,3,0-2,Málaga - Villarreal,Málaga,Villarreal
6485,2017-2018,3,1-2,Barcelona - Alavés,Barcelona,Alavés
6486,2017-2018,3,2-1,Real Sporting - Leganés,Real Sporting,Leganés
6487,2017-2018,3,2-3,Valencia - Real Betis,Valencia,Real Betis
6488,2017-2018,3,1-2,Granada - Eibar,Granada,Eibar
6489,2017-2018,3,0-1,Deportivo - Athletic,Deportivo,Athletic
6490,2017-2018,4,2-2,Real Betis - Granada,Real Betis,Granada
6491,2017-2018,4,1-5,Leganés - Barcelona,Leganés,Barcelona
6492,2017-2018,4,5-0,Atlético - Real Sporting,Atlético,Real Sporting
6493,2017-2018,4,1-1,Eibar - Sevilla,Eibar,Sevilla
6494,2017-2018,4,1-0,Las Palmas - Málaga,Las Palmas,Málaga
6495,2017-2018,4,0-0,Osasuna - Celta,Osasuna,Celta
6496,2017-2018,4,2-1,Athletic - Valencia,Athletic,Valencia
6497,2017-2018,4,2-1,Villarreal - R. Sociedad,Villarreal,R. Sociedad
6498,2017-2018,4,0-2,Espanyol - Real Madrid,Espanyol,Real Madrid
6499,2017-2018,4,0-0,Alavés - Deportivo,Alavés,Deportivo
6500,2017-2018,5,2-1,Málaga - Eibar,Málaga,Eibar
6501,2017-2018,5,1-0,Sevilla - Real Betis,Sevilla,Real Betis
6502,2017-2018,5,2-1,Celta - Real Sporting,Celta,Real Sporting
6503,2017-2018,5,1-1,Real Madrid - Villarreal,Real Madrid,Villarreal
6504,2017-2018,5,1-1,Barcelona - Atlético,Barcelona,Atlético
6505,2017-2018,5,1-2,Granada - Athletic,Granada,Athletic
6506,2017-2018,5,4-1,R. Sociedad - Las Palmas,R. Sociedad,Las Palmas
6507,2017-2018,5,1-2,Deportivo - Leganés,Deportivo,Leganés
6508,2017-2018,5,1-2,Osasuna - Espanyol,Osasuna,Espanyol
6509,2017-2018,5,2-1,Valencia - Alavés,Valencia,Alavés
6510,2017-2018,6,1-0,Real Betis - Málaga,Real Betis,Málaga
6511,2017-2018,6,2-0,Eibar - R. Sociedad,Eibar,R. Sociedad
6512,2017-2018,6,0-5,Real Sporting - Barcelona,Real Sporting,Barcelona
6513,2017-2018,6,3-1,Athletic - Sevilla,Athletic,Sevilla
6514,2017-2018,6,2-2,Las Palmas - Real Madrid,Las Palmas,Real Madrid
6515,2017-2018,6,1-2,Leganés - Valencia,Leganés,Valencia
6516,2017-2018,6,1-0,Atlético - Deportivo,Atlético,Deportivo
6517,2017-2018,6,3-1,Villarreal - Osasuna,Villarreal,Osasuna
6518,2017-2018,6,0-2,Espanyol - Celta,Espanyol,Celta
6519,2017-2018,6,3-1,Alavés - Granada,Alavés,Granada
6520,2017-2018,7,1-0,R. Sociedad - Real Betis,R. Sociedad,Real Betis
6521,2017-2018,7,0-1,Granada - Leganés,Granada,Leganés
6522,2017-2018,7,2-1,Sevilla - Alavés,Sevilla,Alavés
6523,2017-2018,7,2-2,Osasuna - Las Palmas,Osasuna,Las Palmas
6524,2017-2018,7,2-1,Deportivo - Real Sporting,Deportivo,Real Sporting
6525,2017-2018,7,0-2,Valencia - Atlético,Valencia,Atlético
6526,2017-2018,7,1-1,Real Madrid - Eibar,Real Madrid,Eibar
6527,2017-2018,7,0-0,Espanyol - Villarreal,Espanyol,Villarreal
6528,2017-2018,7,2-1,Málaga - Athletic,Málaga,Athletic
6529,2017-2018,7,4-3,Celta - Barcelona,Celta,Barcelona
6530,2017-2018,8,0-0,Las Palmas - Espanyol,Las Palmas,Espanyol
6531,2017-2018,8,2-3,Leganés - Sevilla,Leganés,Sevilla
6532,2017-2018,8,4-0,Barcelona - Deportivo,Barcelona,Deportivo
6533,2017-2018,8,7-1,Atlético - Granada,Atlético,Granada
6534,2017-2018,8,1-6,Real Betis - Real Madrid,Real Betis,Real Madrid
6535,2017-2018,8,1-1,Alavés - Málaga,Alavés,Málaga
6536,2017-2018,8,3-2,Athletic - R. Sociedad,Athletic,R. Sociedad
6537,2017-2018,8,1-2,Real Sporting - Valencia,Real Sporting,Valencia
6538,2017-2018,8,5-0,Villarreal - Celta,Villarreal,Celta
6539,2017-2018,8,2-3,Eibar - Osasuna,Eibar,Osasuna
6540,2017-2018,9,1-2,Osasuna - Real Betis,Osasuna,Real Betis
6541,2017-2018,9,3-3,Espanyol - Eibar,Espanyol,Eibar
6542,2017-2018,9,2-3,Valencia - Barcelona,Valencia,Barcelona
6543,2017-2018,9,3-0,R. Sociedad - Alavés,R. Sociedad,Alavés
6544,2017-2018,9,0-0,Granada - Real Sporting,Granada,Real Sporting
6545,2017-2018,9,4-1,Celta - Deportivo,Celta,Deportivo
6546,2017-2018,9,1-0,Sevilla - Atlético,Sevilla,Atlético
6547,2017-2018,9,2-1,Villarreal - Las Palmas,Villarreal,Las Palmas
6548,2017-2018,9,4-0,Málaga - Leganés,Málaga,Leganés
6549,2017-2018,9,2-1,Real Madrid - Athletic,Real Madrid,Athletic
6550,2017-2018,10,0-2,Leganés - R. Sociedad,Leganés,R. Sociedad
6551,2017-2018,10,1-1,Real Sporting - Sevilla,Real Sporting,Sevilla
6552,2017-2018,10,1-4,Alavés - Real Madrid,Alavés,Real Madrid
6553,2017-2018,10,4-2,Atlético - Málaga,Atlético,Málaga
6554,2017-2018,10,1-0,Barcelona - Granada,Barcelona,Granada
6555,2017-2018,10,2-1,Eibar - Villarreal,Eibar,Villarreal
6556,2017-2018,10,1-1,Athletic - Osasuna,Athletic,Osasuna
6557,2017-2018,10,0-1,Real Betis - Espanyol,Real Betis,Espanyol
6558,2017-2018,10,3-3,Las Palmas - Celta,Las Palmas,Celta
6559,2017-2018,10,1-1,Deportivo - Valencia,Deportivo,Valencia
6560,2017-2018,11,3-2,Málaga - Real Sporting,Málaga,Real Sporting
6561,2017-2018,11,1-1,Granada - Deportivo,Granada,Deportivo
6562,2017-2018,11,2-0,R. Sociedad - Atlético,R. Sociedad,Atlético
6563,2017-2018,11,0-1,Osasuna - Alavés,Osasuna,Alavés
6564,2017-2018,11,1-0,Las Palmas - Eibar,Las Palmas,Eibar
6565,2017-2018,11,3-0,Real Madrid - Leganés,Real Madrid,Leganés
6566,2017-2018,11,0-0,Espanyol - Athletic,Espanyol,Athletic
6567,2017-2018,11,2-1,Celta - Valencia,Celta,Valencia
6568,2017-2018,11,2-0,Villarreal - Real Betis,Villarreal,Real Betis
6569,2017-2018,11,1-2,Sevilla - Barcelona,Sevilla,Barcelona
6570,2017-2018,12,2-0,Real Betis - Las Palmas,Real Betis,Las Palmas
6571,2017-2018,12,2-3,Deportivo - Sevilla,Deportivo,Sevilla
6572,2017-2018,12,0-0,Barcelona - Málaga,Barcelona,Málaga
6573,2017-2018,12,1-0,Eibar - Celta,Eibar,Celta
6574,2017-2018,12,0-3,Atlético - Real Madrid,Atlético,Real Madrid
6575,2017-2018,12,0-1,Alavés - Espanyol,Alavés,Espanyol
6576,2017-2018,12,1-1,Valencia - Granada,Valencia,Granada
6577,2017-2018,12,1-3,Real Sporting - R. Sociedad,Real Sporting,R. Sociedad
6578,2017-2018,12,1-0,Athletic - Villarreal,Athletic,Villarreal
6579,2017-2018,12,2-0,Leganés - Osasuna,Leganés,Osasuna
6580,2017-2018,13,3-1,Eibar - Real Betis,Eibar,Real Betis
6581,2017-2018,13,4-3,Málaga - Deportivo,Málaga,Deportivo
6582,2017-2018,13,2-1,Real Madrid - Real Sporting,Real Madrid,Real Sporting
6583,2017-2018,13,3-0,Espanyol - Leganés,Espanyol,Leganés
6584,2017-2018,13,2-1,Sevilla - Valencia,Sevilla,Valencia
6585,2017-2018,13,0-2,Villarreal - Alavés,Villarreal,Alavés
6586,2017-2018,13,0-3,Osasuna - Atlético,Osasuna,Atlético
6587,2017-2018,13,3-1,Celta - Granada,Celta,Granada
6588,2017-2018,13,1-1,R. Sociedad - Barcelona,R. Sociedad,Barcelona
6589,2017-2018,13,3-1,Las Palmas - Athletic,Las Palmas,Athletic
6590,2017-2018,14,2-1,Granada - Sevilla,Granada,Sevilla
6591,2017-2018,14,1-1,Barcelona - Real Madrid,Barcelona,Real Madrid
6592,2017-2018,14,0-0,Leganés - Villarreal,Leganés,Villarreal
6593,2017-2018,14,0-0,Atlético - Espanyol,Atlético,Espanyol
6594,2017-2018,14,3-3,Real Betis - Celta,Real Betis,Celta
6595,2017-2018,14,3-1,Athletic - Eibar,Athletic,Eibar
6596,2017-2018,14,3-1,Real Sporting - Osasuna,Real Sporting,Osasuna
6597,2017-2018,14,1-1,Alavés - Las Palmas,Alavés,Las Palmas
6598,2017-2018,14,2-2,Valencia - Málaga,Valencia,Málaga
6599,2017-2018,14,5-1,Deportivo - R. Sociedad,Deportivo,R. Sociedad
6600,2017-2018,15,1-1,Málaga - Granada,Málaga,Granada
6601,2017-2018,15,0-3,Osasuna - Barcelona,Osasuna,Barcelona
6602,2017-2018,15,3-2,R. Sociedad - Valencia,R. Sociedad,Valencia
6603,2017-2018,15,1-1,Las Palmas - Leganés,Las Palmas,Leganés
6604,2017-2018,15,3-2,Real Madrid - Deportivo,Real Madrid,Deportivo
6605,2017-2018,15,0-0,Eibar - Alavés,Eibar,Alavés
6606,2017-2018,15,0-3,Celta - Sevilla,Celta,Sevilla
6607,2017-2018,15,2-1,Espanyol - Real Sporting,Espanyol,Real Sporting
6608,2017-2018,15,1-0,Real Betis - Athletic,Real Betis,Athletic
6609,2017-2018,15,3-0,Villarreal - Atlético,Villarreal,Atlético
6610,2017-2018,16,1-0,Alavés - Real Betis,Alavés,Real Betis
6611,2017-2018,16,1-3,Real Sporting - Villarreal,Real Sporting,Villarreal
6612,2017-2018,16,1-0,Atlético - Las Palmas,Atlético,Las Palmas
6613,2017-2018,16,0-2,Granada - R. Sociedad,Granada,R. Sociedad
6614,2017-2018,16,4-1,Sevilla - Málaga,Sevilla,Málaga
6615,2017-2018,16,1-1,Leganés - Eibar,Leganés,Eibar
6616,2017-2018,16,2-0,Deportivo - Osasuna,Deportivo,Osasuna
6617,2017-2018,16,4-1,Barcelona - Espanyol,Barcelona,Espanyol
6618,2017-2018,16,2-1,Athletic - Celta,Athletic,Celta
6619,2017-2018,16,2-1,Valencia - Real Madrid,Valencia,Real Madrid
6620,2017-2018,17,1-1,Espanyol - Deportivo,Espanyol,Deportivo
6621,2017-2018,17,5-0,Real Madrid - Granada,Real Madrid,Granada
6622,2017-2018,17,0-2,Eibar - Atlético,Eibar,Atlético
6623,2017-2018,17,1-0,Las Palmas - Real Sporting,Las Palmas,Real Sporting
6624,2017-2018,17,0-4,R. Sociedad - Sevilla,R. Sociedad,Sevilla
6625,2017-2018,17,0-0,Athletic - Alavés,Athletic,Alavés
6626,2017-2018,17,2-0,Real Betis - Leganés,Real Betis,Leganés
6627,2017-2018,17,3-1,Celta - Málaga,Celta,Málaga
6628,2017-2018,17,1-1,Villarreal - Barcelona,Villarreal,Barcelona
6629,2017-2018,17,3-3,Osasuna - Valencia,Osasuna,Valencia
6630,2017-2018,18,0-0,Leganés - Athletic,Leganés,Athletic
6631,2017-2018,18,5-0,Barcelona - Las Palmas,Barcelona,Las Palmas
6632,2017-2018,18,1-0,Atlético - Real Betis,Atlético,Real Betis
6633,2017-2018,18,0-0,Deportivo - Villarreal,Deportivo,Villarreal
6634,2017-2018,18,2-1,Valencia - Espanyol,Valencia,Espanyol
6635,2017-2018,18,1-0,Celta - Alavés,Celta,Alavés
6636,2017-2018,18,2-3,Real Sporting - Eibar,Real Sporting,Eibar
6637,2017-2018,18,1-1,Granada - Osasuna,Granada,Osasuna
6638,2017-2018,18,2-1,Sevilla - Real Madrid,Sevilla,Real Madrid
6639,2017-2018,18,0-2,Málaga - R. Sociedad,Málaga,R. Sociedad
6640,2017-2018,19,1-1,Las Palmas - Deportivo,Las Palmas,Deportivo
6641,2017-2018,19,3-1,Espanyol - Granada,Espanyol,Granada
6642,2017-2018,19,2-1,Real Madrid - Málaga,Real Madrid,Málaga
6643,2017-2018,19,2-2,Alavés - Leganés,Alavés,Leganés
6644,2017-2018,19,0-2,Villarreal - Valencia,Villarreal,Valencia
6645,2017-2018,19,3-4,Osasuna - Sevilla,Osasuna,Sevilla
6646,2017-2018,19,2-2,Athletic - Atlético,Athletic,Atlético
6647,2017-2018,19,1-0,R. Sociedad - Celta,R. Sociedad,Celta
6648,2017-2018,19,0-0,Real Betis - Real Sporting,Real Betis,Real Sporting
6649,2017-2018,19,0-4,Eibar - Barcelona,Eibar,Barcelona
6650,2017-2018,20,1-1,Osasuna - Málaga,Osasuna,Málaga
6651,2017-2018,20,2-0,Villarreal - Granada,Villarreal,Granada
6652,2017-2018,20,0-0,Alavés - Atlético,Alavés,Atlético
6653,2017-2018,20,3-1,Eibar - Deportivo,Eibar,Deportivo
6654,2017-2018,20,0-2,Leganés - Celta,Leganés,Celta
6655,2017-2018,20,1-1,Real Betis - Barcelona,Real Betis,Barcelona
6656,2017-2018,20,3-1,Espanyol - Sevilla,Espanyol,Sevilla
6657,2017-2018,20,2-1,Athletic - Real Sporting,Athletic,Real Sporting
6658,2017-2018,20,3-0,Real Madrid - R. Sociedad,Real Madrid,R. Sociedad
6659,2017-2018,20,3-1,Las Palmas - Valencia,Las Palmas,Valencia
6660,2017-2018,21,0-1,Málaga - Espanyol,Málaga,Espanyol
6661,2017-2018,21,3-0,Barcelona - Athletic,Barcelona,Athletic
6662,2017-2018,21,2-0,Atlético - Leganés,Atlético,Leganés
6663,2017-2018,21,0-4,Valencia - Eibar,Valencia,Eibar
6664,2017-2018,21,0-0,Sevilla - Villarreal,Sevilla,Villarreal
6665,2017-2018,21,2-4,Real Sporting - Alavés,Real Sporting,Alavés
6666,2017-2018,21,3-2,R. Sociedad - Osasuna,R. Sociedad,Osasuna
6667,2017-2018,21,1-0,Granada - Las Palmas,Granada,Las Palmas
6668,2017-2018,21,1-1,Deportivo - Real Betis,Deportivo,Real Betis
6669,2017-2018,21,1-4,Celta - Real Madrid,Celta,Real Madrid
6670,2017-2018,22,1-2,Espanyol - R. Sociedad,Espanyol,R. Sociedad
6671,2017-2018,22,0-0,Real Betis - Valencia,Real Betis,Valencia
6672,2017-2018,22,0-6,Alavés - Barcelona,Alavés,Barcelona
6673,2017-2018,22,2-1,Athletic - Deportivo,Athletic,Deportivo
6674,2017-2018,22,1-3,Osasuna - Real Madrid,Osasuna,Real Madrid
6675,2017-2018,22,1-1,Villarreal - Málaga,Villarreal,Málaga
6676,2017-2018,22,0-2,Leganés - Real Sporting,Leganés,Real Sporting
6677,2017-2018,22,0-1,Las Palmas - Sevilla,Las Palmas,Sevilla
6678,2017-2018,22,3-2,Atlético - Celta,Atlético,Celta
6679,2017-2018,22,4-0,Eibar - Granada,Eibar,Granada
6680,2017-2018,23,4-1,Granada - Real Betis,Granada,Real Betis
6681,2017-2018,23,1-4,Real Sporting - Atlético,Real Sporting,Atlético
6682,2017-2018,23,2-0,Real Madrid - Espanyol,Real Madrid,Espanyol
6683,2017-2018,23,0-1,Deportivo - Alavés,Deportivo,Alavés
6684,2017-2018,23,2-0,Sevilla - Eibar,Sevilla,Eibar
6685,2017-2018,23,0-1,R. Sociedad - Villarreal,R. Sociedad,Villarreal
6686,2017-2018,23,2-0,Valencia - Athletic,Valencia,Athletic
6687,2017-2018,23,3-0,Celta - Osasuna,Celta,Osasuna
6688,2017-2018,23,2-1,Barcelona - Leganés,Barcelona,Leganés
6689,2017-2018,23,2-1,Málaga - Las Palmas,Málaga,Las Palmas
6690,2017-2018,24,0-1,Las Palmas - R. Sociedad,Las Palmas,R. Sociedad
6691,2017-2018,24,2-1,Alavés - Valencia,Alavés,Valencia
6692,2017-2018,24,1-2,Real Betis - Sevilla,Real Betis,Sevilla
6693,2017-2018,24,4-0,Leganés - Deportivo,Leganés,Deportivo
6694,2017-2018,24,3-0,Eibar - Málaga,Eibar,Málaga
6695,2017-2018,24,3-0,Espanyol - Osasuna,Espanyol,Osasuna
6696,2017-2018,24,1-2,Atlético - Barcelona,Atlético,Barcelona
6697,2017-2018,24,3-1,Athletic - Granada,Athletic,Granada
6698,2017-2018,24,1-1,Real Sporting - Celta,Real Sporting,Celta
6699,2017-2018,24,2-3,Villarreal - Real Madrid,Villarreal,Real Madrid
6700,2017-2018,25,2-2,R. Sociedad - Eibar,R. Sociedad,Eibar
6701,2017-2018,25,1-0,Valencia - Leganés,Valencia,Leganés
6702,2017-2018,25,1-2,Málaga - Real Betis,Málaga,Real Betis
6703,2017-2018,25,6-1,Barcelona - Real Sporting,Barcelona,Real Sporting
6704,2017-2018,25,1-4,Osasuna - Villarreal,Osasuna,Villarreal
6705,2017-2018,25,2-1,Granada - Alavés,Granada,Alavés
6706,2017-2018,25,2-2,Celta - Espanyol,Celta,Espanyol
6707,2017-2018,25,3-3,Real Madrid - Las Palmas,Real Madrid,Las Palmas
6708,2017-2018,25,1-1,Deportivo - Atlético,Deportivo,Atlético
6709,2017-2018,25,1-0,Sevilla - Athletic,Sevilla,Athletic
6710,2017-2018,26,2-3,Real Betis - R. Sociedad,Real Betis,R. Sociedad
6711,2017-2018,26,1-0,Leganés - Granada,Leganés,Granada
6712,2017-2018,26,1-4,Eibar - Real Madrid,Eibar,Real Madrid
6713,2017-2018,26,2-0,Villarreal - Espanyol,Villarreal,Espanyol
6714,2017-2018,26,5-0,Barcelona - Celta,Barcelona,Celta
6715,2017-2018,26,0-1,Real Sporting - Deportivo,Real Sporting,Deportivo
6716,2017-2018,26,3-0,Atlético - Valencia,Atlético,Valencia
6717,2017-2018,26,5-2,Las Palmas - Osasuna,Las Palmas,Osasuna
6718,2017-2018,26,1-0,Athletic - Málaga,Athletic,Málaga
6719,2017-2018,26,1-1,Alavés - Sevilla,Alavés,Sevilla
6720,2017-2018,27,4-3,Espanyol - Las Palmas,Espanyol,Las Palmas
6721,2017-2018,27,1-1,Valencia - Real Sporting,Valencia,Real Sporting
6722,2017-2018,27,1-1,Sevilla - Leganés,Sevilla,Leganés
6723,2017-2018,27,1-2,Málaga - Alavés,Málaga,Alavés
6724,2017-2018,27,0-1,Granada - Atlético,Granada,Atlético
6725,2017-2018,27,0-2,R. Sociedad - Athletic,R. Sociedad,Athletic
6726,2017-2018,27,2-1,Deportivo - Barcelona,Deportivo,Barcelona
6727,2017-2018,27,0-1,Celta - Villarreal,Celta,Villarreal
6728,2017-2018,27,2-1,Real Madrid - Real Betis,Real Madrid,Real Betis
6729,2017-2018,27,1-1,Osasuna - Eibar,Osasuna,Eibar
6730,2017-2018,28,1-0,Las Palmas - Villarreal,Las Palmas,Villarreal
6731,2017-2018,28,1-1,Eibar - Espanyol,Eibar,Espanyol
6732,2017-2018,28,1-2,Athletic - Real Madrid,Athletic,Real Madrid
6733,2017-2018,28,1-0,Alavés - R. Sociedad,Alavés,R. Sociedad
6734,2017-2018,28,2-0,Real Betis - Osasuna,Real Betis,Osasuna
6735,2017-2018,28,0-0,Leganés - Málaga,Leganés,Málaga
6736,2017-2018,28,3-1,Atlético - Sevilla,Atlético,Sevilla
6737,2017-2018,28,3-1,Real Sporting - Granada,Real Sporting,Granada
6738,2017-2018,28,0-1,Deportivo - Celta,Deportivo,Celta
6739,2017-2018,28,4-2,Barcelona - Valencia,Barcelona,Valencia
6740,2017-2018,29,2-1,Espanyol - Real Betis,Espanyol,Real Betis
6741,2017-2018,29,2-3,Villarreal - Eibar,Villarreal,Eibar
6742,2017-2018,29,1-2,Osasuna - Athletic,Osasuna,Athletic
6743,2017-2018,29,1-1,R. Sociedad - Leganés,R. Sociedad,Leganés
6744,2017-2018,29,0-2,Málaga - Atlético,Málaga,Atlético
6745,2017-2018,29,0-0,Sevilla - Real Sporting,Sevilla,Real Sporting
6746,2017-2018,29,3-0,Real Madrid - Alavés,Real Madrid,Alavés
6747,2017-2018,29,3-0,Valencia - Deportivo,Valencia,Deportivo
6748,2017-2018,29,1-4,Granada - Barcelona,Granada,Barcelona
6749,2017-2018,29,3-1,Celta - Las Palmas,Celta,Las Palmas
6750,2017-2018,30,2-0,Athletic - Espanyol,Athletic,Espanyol
6751,2017-2018,30,1-0,Atlético - R. Sociedad,Atlético,R. Sociedad
6752,2017-2018,30,0-1,Real Betis - Villarreal,Real Betis,Villarreal
6753,2017-2018,30,3-0,Barcelona - Sevilla,Barcelona,Sevilla
6754,2017-2018,30,0-1,Alavés - Osasuna,Alavés,Osasuna
6755,2017-2018,30,0-0,Deportivo - Granada,Deportivo,Granada
6756,2017-2018,30,0-1,Real Sporting - Málaga,Real Sporting,Málaga
6757,2017-2018,30,2-4,Leganés - Real Madrid,Leganés,Real Madrid
6758,2017-2018,30,3-1,Eibar - Las Palmas,Eibar,Las Palmas
6759,2017-2018,30,3-2,Valencia - Celta,Valencia,Celta
6760,2017-2018,31,3-1,Villarreal - Athletic,Villarreal,Athletic
6761,2017-2018,31,1-0,Espanyol - Alavés,Espanyol,Alavés
6762,2017-2018,31,1-1,Real Madrid - Atlético,Real Madrid,Atlético
6763,2017-2018,31,4-2,Sevilla - Deportivo,Sevilla,Deportivo
6764,2017-2018,31,2-0,Málaga - Barcelona,Málaga,Barcelona
6765,2017-2018,31,1-3,Granada - Valencia,Granada,Valencia
6766,2017-2018,31,0-2,Celta - Eibar,Celta,Eibar
6767,2017-2018,31,2-1,Osasuna - Leganés,Osasuna,Leganés
6768,2017-2018,31,4-1,Las Palmas - Real Betis,Las Palmas,Real Betis
6769,2017-2018,31,3-1,R. Sociedad - Real Sporting,R. Sociedad,Real Sporting
6770,2017-2018,32,5-1,Athletic - Las Palmas,Athletic,Las Palmas
6771,2017-2018,32,2-0,Deportivo - Málaga,Deportivo,Málaga
6772,2017-2018,32,2-3,Real Sporting - Real Madrid,Real Sporting,Real Madrid
6773,2017-2018,32,3-0,Atlético - Osasuna,Atlético,Osasuna
6774,2017-2018,32,3-2,Barcelona - R. Sociedad,Barcelona,R. Sociedad
6775,2017-2018,32,0-1,Leganés - Espanyol,Leganés,Espanyol
6776,2017-2018,32,0-0,Valencia - Sevilla,Valencia,Sevilla
6777,2017-2018,32,2-0,Real Betis - Eibar,Real Betis,Eibar
6778,2017-2018,32,0-3,Granada - Celta,Granada,Celta
6779,2017-2018,32,2-1,Alavés - Villarreal,Alavés,Villarreal
6780,2017-2018,33,2-0,Sevilla - Granada,Sevilla,Granada
6781,2017-2018,33,2-0,Málaga - Valencia,Málaga,Valencia
6782,2017-2018,33,2-1,Villarreal - Leganés,Villarreal,Leganés
6783,2017-2018,33,2-2,Osasuna - Real Sporting,Osasuna,Real Sporting
6784,2017-2018,33,0-1,Espanyol - Atlético,Espanyol,Atlético
6785,2017-2018,33,1-0,R. Sociedad - Deportivo,R. Sociedad,Deportivo
6786,2017-2018,33,0-1,Celta - Real Betis,Celta,Real Betis
6787,2017-2018,33,1-1,Las Palmas - Alavés,Las Palmas,Alavés
6788,2017-2018,33,2-3,Real Madrid - Barcelona,Real Madrid,Barcelona
6789,2017-2018,33,0-1,Eibar - Athletic,Eibar,Athletic
6790,2017-2018,34,1-1,Real Sporting - Espanyol,Real Sporting,Espanyol
6791,2017-2018,34,0-2,Granada - Málaga,Granada,Málaga
6792,2017-2018,34,0-1,Atlético - Villarreal,Atlético,Villarreal
6793,2017-2018,34,7-1,Barcelona - Osasuna,Barcelona,Osasuna
6794,2017-2018,34,3-0,Leganés - Las Palmas,Leganés,Las Palmas
6795,2017-2018,34,2-3,Valencia - R. Sociedad,Valencia,R. Sociedad
6796,2017-2018,34,2-6,Deportivo - Real Madrid,Deportivo,Real Madrid
6797,2017-2018,34,0-0,Alavés - Eibar,Alavés,Eibar
6798,2017-2018,34,2-1,Sevilla - Celta,Sevilla,Celta
6799,2017-2018,34,2-1,Athletic - Real Betis,Athletic,Real Betis
6800,2017-2018,35,3-1,Villarreal - Real Sporting,Villarreal,Real Sporting
6801,2017-2018,35,2-1,R. Sociedad - Granada,R. Sociedad,Granada
6802,2017-2018,35,2-1,Real Madrid - Valencia,Real Madrid,Valencia
6803,2017-2018,35,0-5,Las Palmas - Atlético,Las Palmas,Atlético
6804,2017-2018,35,0-3,Espanyol - Barcelona,Espanyol,Barcelona
6805,2017-2018,35,2-2,Osasuna - Deportivo,Osasuna,Deportivo
6806,2017-2018,35,1-4,Real Betis - Alavés,Real Betis,Alavés
6807,2017-2018,35,2-0,Eibar - Leganés,Eibar,Leganés
6808,2017-2018,35,0-3,Celta - Athletic,Celta,Athletic
6809,2017-2018,35,4-2,Málaga - Sevilla,Málaga,Sevilla
6810,2017-2018,36,1-1,Sevilla - R. Sociedad,Sevilla,R. Sociedad
6811,2017-2018,36,1-0,Real Sporting - Las Palmas,Real Sporting,Las Palmas
6812,2017-2018,36,1-0,Atlético - Eibar,Atlético,Eibar
6813,2017-2018,36,4-1,Barcelona - Villarreal,Barcelona,Villarreal
6814,2017-2018,36,0-4,Granada - Real Madrid,Granada,Real Madrid
6815,2017-2018,36,1-0,Alavés - Athletic,Alavés,Athletic
6816,2017-2018,36,4-1,Valencia - Osasuna,Valencia,Osasuna
6817,2017-2018,36,1-2,Deportivo - Espanyol,Deportivo,Espanyol
6818,2017-2018,36,3-0,Málaga - Celta,Málaga,Celta
6819,2017-2018,36,4-0,Leganés - Real Betis,Leganés,Real Betis
6820,2017-2018,37,0-1,Espanyol - Valencia,Espanyol,Valencia
6821,2017-2018,37,2-1,Osasuna - Granada,Osasuna,Granada
6822,2017-2018,37,3-1,Alavés - Celta,Alavés,Celta
6823,2017-2018,37,1-4,Las Palmas - Barcelona,Las Palmas,Barcelona
6824,2017-2018,37,4-1,Real Madrid - Sevilla,Real Madrid,Sevilla
6825,2017-2018,37,0-0,Villarreal - Deportivo,Villarreal,Deportivo
6826,2017-2018,37,0-1,Eibar - Real Sporting,Eibar,Real Sporting
6827,2017-2018,37,1-1,Real Betis - Atlético,Real Betis,Atlético
6828,2017-2018,37,1-1,Athletic - Leganés,Athletic,Leganés
6829,2017-2018,37,2-2,R. Sociedad - Málaga,R. Sociedad,Málaga
6830,2017-2018,38,1-2,Granada - Espanyol,Granada,Espanyol
6831,2017-2018,38,2-2,Real Sporting - Real Betis,Real Sporting,Real Betis
6832,2017-2018,38,1-1,Leganés - Alavés,Leganés,Alavés
6833,2017-2018,38,3-0,Deportivo - Las Palmas,Deportivo,Las Palmas
6834,2017-2018,38,5-0,Sevilla - Osasuna,Sevilla,Osasuna
6835,2017-2018,38,2-2,Celta - R. Sociedad,Celta,R. Sociedad
6836,2017-2018,38,1-3,Valencia - Villarreal,Valencia,Villarreal
6837,2017-2018,38,3-1,Atlético - Athletic,Atlético,Athletic
6838,2017-2018,38,0-2,Málaga - Real Madrid,Málaga,Real Madrid
6839,2017-2018,38,4-2,Barcelona - Eibar,Barcelona,Eibar
6840,2018-2019,1,1-0,Leganés - Alavés,Leganés,Alavés
6841,2018-2019,1,1-0,Valencia - Las Palmas,Valencia,Las Palmas
