,Season,Game,Score,Teams,Home Team,Away Team
187,2000-2001,19,2-0,Rayo Vallecano - Sevilla,Rayo Vallecano,Sevilla
188,2000-2001,19,1-0,Atlético - Mallorca,Atlético,Mallorca
189,2000-2001,19,0-1,Real Valladolid - Real Madrid,Real Valladolid,Real Madrid
190,2000-2001,20,2-1,Real Madrid - Mallorca,Real Madrid,Mallorca
191,2000-2001,20,5-3,Celta - Real Oviedo,Celta,Real Oviedo
192,2000-2001,20,2-1,Real Betis - Athletic,Real Betis,Athletic
193,2000-2001,20,2-0,Real Valladolid - Numancia,Real Valladolid,Numancia
194,2000-2001,20,1-1,R. Sociedad - Sevilla,R. Sociedad,Sevilla
195,2000-2001,20,2-1,Alavés - Deportivo,Alavés,Deportivo
196,2000-2001,20,0-2,Espanyol - Málaga,Espanyol,Málaga
197,2000-2001,20,0-0,Real Zaragoza - Barcelona,Real Zaragoza,Barcelona
198,2000-2001,20,1-1,Racing - Valencia,Racing,Valencia
199,2000-2001,20,1-1,Rayo Vallecano - Atlético,Rayo Vallecano,Atlético
200,2000-2001,21,2-0,Deportivo - Real Betis,Deportivo,Real Betis
201,2000-2001,21,1-0,Real Oviedo - Real Zaragoza,Real Oviedo,Real Zaragoza
202,2000-2001,21,1-2,Valencia - Espanyol,Valencia,Espanyol
203,2000-2001,21,1-1,Atlético - R. Sociedad,Atlético,R. Sociedad
204,2000-2001,21,0-0,Numancia - Real Madrid,Numancia,Real Madrid
205,2000-2001,21,0-1,Málaga - Alavés,Málaga,Alavés
206,2000-2001,21,1-0,Barcelona - Racing,Barcelona,Racing
207,2000-2001,21,0-1,Sevilla - Celta,Sevilla,Celta
208,2000-2001,21,2-1,Mallorca - Rayo Vallecano,Mallorca,Rayo Vallecano
209,2000-2001,21,1-0,Athletic - Real Valladolid,Athletic,Real Valladolid
210,2000-2001,22,0-1,Celta - Atlético,Celta,Atlético
211,2000-2001,22,1-1,Espanyol - Barcelona,Espanyol,Barcelona
212,2000-2001,22,0-0,Real Betis - Málaga,Real Betis,Málaga
213,2000-2001,22,3-1,Real Madrid - Athletic,Real Madrid,Athletic
214,2000-2001,22,3-1,Numancia - Mallorca,Numancia,Mallorca
215,2000-2001,22,4-1,Real Valladolid - Deportivo,Real Valladolid,Deportivo
216,2000-2001,22,0-1,Alavés - Valencia,Alavés,Valencia
217,2000-2001,22,3-1,Racing - Real Oviedo,Racing,Real Oviedo
218,2000-2001,22,2-1,Real Zaragoza - Sevilla,Real Zaragoza,Sevilla
219,2000-2001,22,2-1,R. Sociedad - Rayo Vallecano,R. Sociedad,Rayo Vallecano
220,2000-2001,23,3-1,Valencia - Real Betis,Valencia,Real Betis
221,2000-2001,23,0-1,Barcelona - Alavés,Barcelona,Alavés
222,2000-2001,23,2-1,Athletic - Numancia,Athletic,Numancia
223,2000-2001,23,5-2,Deportivo - Real Madrid,Deportivo,Real Madrid
224,2000-2001,23,0-0,Málaga - Real Valladolid,Málaga,Real Valladolid
225,2000-2001,23,1-0,Sevilla - Racing,Sevilla,Racing
226,2000-2001,23,2-2,Atlético - Real Zaragoza,Atlético,Real Zaragoza
227,2000-2001,23,2-1,Mallorca - R. Sociedad,Mallorca,R. Sociedad
228,2000-2001,23,1-0,Rayo Vallecano - Celta,Rayo Vallecano,Celta
229,2000-2001,23,1-0,Real Oviedo - Espanyol,Real Oviedo,Espanyol
230,2000-2001,24,0-0,Real Valladolid - Valencia,Real Valladolid,Valencia
231,2000-2001,24,1-1,Athletic - Mallorca,Athletic,Mallorca
232,2000-2001,24,1-0,Real Madrid - Málaga,Real Madrid,Málaga
233,2000-2001,24,2-1,Racing - Atlético,Racing,Atlético
234,2000-2001,24,1-0,Numancia - Deportivo,Numancia,Deportivo
235,2000-2001,24,2-1,Real Betis - Barcelona,Real Betis,Barcelona
236,2000-2001,24,2-2,Espanyol - Sevilla,Espanyol,Sevilla
237,2000-2001,24,1-1,Real Zaragoza - Rayo Vallecano,Real Zaragoza,Rayo Vallecano
238,2000-2001,24,4-1,Celta - R. Sociedad,Celta,R. Sociedad
239,2000-2001,24,1-0,Alavés - Real Oviedo,Alavés,Real Oviedo
240,2000-2001,25,2-0,Deportivo - Athletic,Deportivo,Athletic
241,2000-2001,25,2-2,Sevilla - Alavés,Sevilla,Alavés
242,2000-2001,25,1-1,Atlético - Espanyol,Atlético,Espanyol
243,2000-2001,25,3-1,Málaga - Numancia,Málaga,Numancia
244,2000-2001,25,1-1,Valencia - Real Madrid,Valencia,Real Madrid
245,2000-2001,25,4-0,Barcelona - Real Valladolid,Barcelona,Real Valladolid
246,2000-2001,25,1-2,Rayo Vallecano - Racing,Rayo Vallecano,Racing
247,2000-2001,25,2-1,R. Sociedad - Real Zaragoza,R. Sociedad,Real Zaragoza
248,2000-2001,25,1-0,Mallorca - Celta,Mallorca,Celta
249,2000-2001,25,1-1,Real Oviedo - Real Betis,Real Oviedo,Real Betis
250,2000-2001,26,3-0,Real Madrid - Barcelona,Real Madrid,Barcelona
251,2000-2001,26,1-2,Numancia - Valencia,Numancia,Valencia
252,2000-2001,26,0-0,Racing - R. Sociedad,Racing,R. Sociedad
253,2000-2001,26,2-1,Deportivo - Mallorca,Deportivo,Mallorca
254,2000-2001,26,2-2,Athletic - Málaga,Athletic,Málaga
255,2000-2001,26,2-1,Real Valladolid - Real Oviedo,Real Valladolid,Real Oviedo
256,2000-2001,26,5-1,Espanyol - Rayo Vallecano,Espanyol,Rayo Vallecano
257,2000-2001,26,1-1,Real Betis - Sevilla,Real Betis,Sevilla
258,2000-2001,26,2-1,Real Zaragoza - Celta,Real Zaragoza,Celta
259,2000-2001,26,2-0,Alavés - Atlético,Alavés,Atlético
260,2000-2001,27,2-0,Valencia - Athletic,Valencia,Athletic
261,2000-2001,27,1-1,Real Oviedo - Real Madrid,Real Oviedo,Real Madrid
262,2000-2001,27,4-0,Barcelona - Numancia,Barcelona,Numancia
263,2000-2001,27,1-0,R. Sociedad - Espanyol,R. Sociedad,Espanyol
264,2000-2001,27,0-1,Sevilla - Real Valladolid,Sevilla,Real Valladolid
265,2000-2001,27,0-0,Atlético - Real Betis,Atlético,Real Betis
266,2000-2001,27,0-1,Rayo Vallecano - Alavés,Rayo Vallecano,Alavés
267,2000-2001,27,2-0,Celta - Racing,Celta,Racing
268,2000-2001,27,1-1,Mallorca - Real Zaragoza,Mallorca,Real Zaragoza
269,2000-2001,27,1-0,Málaga - Deportivo,Málaga,Deportivo
270,2000-2001,28,3-1,Real Madrid - Sevilla,Real Madrid,Sevilla
271,2000-2001,28,0-4,Athletic - Barcelona,Athletic,Barcelona
272,2000-2001,28,1-1,Real Betis - Rayo Vallecano,Real Betis,Rayo Vallecano
273,2000-2001,28,2-1,Alavés - R. Sociedad,Alavés,R. Sociedad
274,2000-2001,28,1-0,Real Valladolid - Atlético,Real Valladolid,Atlético
275,2000-2001,28,0-0,Málaga - Mallorca,Málaga,Mallorca
276,2000-2001,28,2-0,Deportivo - Valencia,Deportivo,Valencia
277,2000-2001,28,1-1,Numancia - Real Oviedo,Numancia,Real Oviedo
278,2000-2001,28,1-2,Racing - Real Zaragoza,Racing,Real Zaragoza
279,2000-2001,28,3-0,Espanyol - Celta,Espanyol,Celta
280,2000-2001,29,2-2,Valencia - Málaga,Valencia,Málaga
281,2000-2001,29,2-1,Barcelona - Deportivo,Barcelona,Deportivo
282,2000-2001,29,1-1,Atlético - Real Madrid,Atlético,Real Madrid
283,2000-2001,29,1-2,Mallorca - Racing,Mallorca,Racing
284,2000-2001,29,1-0,Real Oviedo - Athletic,Real Oviedo,Athletic
285,2000-2001,29,4-0,Sevilla - Numancia,Sevilla,Numancia
